KEY,IR,GDP,UR,CPI,NFP,NHS,CU,CCI,NAPM,UNL,RS
199604,5,8061.535,5.6,156.1,119165,736,83.3,100.1899,49.3,84.115,12
199605,5,8094.0376666667,5.6,156.4,119491,746,83.5,100.3123,49.1,84.2593333333,14
199606,5,8126.5403333333,5.3,156.7,119772,721,83.8,100.4623,53.6,84.4036666667,13
199607,5,8159.043,5.5,157,120023,770,83.3,100.6343,49.7,84.548,12
199608,5,8201.7213333333,5.1,157.2,120208,826,83.4,100.7918,51.6,84.6543333333,13
199609,5,8244.3996666667,5.2,157.7,120421,770,83.6,100.9969,51.1,84.7606666667,13
199610,5,8287.078,5.2,158.2,120682,720,83.1,101.1157,50.5,84.867,11
199611,5,8325.4053333333,5.4,158.7,120977,771,83.5,101.0882,53,85.1863333333,14
199612,5,8363.7326666667,5.4,159.1,121148,805,83.6,101.1292,55.2,85.5056666667,12
199701,5,8402.06,5.3,159.4,121379,830,83.3,101.2536,53.8,85.825,14
199702,5,8452.02,5.2,159.7,121687,801,83.9,101.3538,53.1,85.6973333333,13
199703,5,8501.98,5.2,159.8,121999,831,84,101.4137,53.8,85.5696666667,13
199704,5,8551.94,5.1,159.9,122291,744,83.6,101.4811,53.7,85.442,11
199705,5,8598.5453333333,4.9,159.9,122554,760,83.7,101.5352,56.1,85.4976666667,13
199706,5,8645.1506666667,5,160.2,122818,793,83.6,101.5923,54.9,85.5533333333,11
199707,5,8691.756,4.9,160.4,123121,805,83.8,101.6339,57.7,85.609,15
199708,5,8723.944,4.8,160.8,123099,815,84.2,101.6405,56.3,86.0223333333,13
199709,5,8756.132,4.9,161.2,123598,840,84.4,101.6233,53.9,86.4356666667,12
199710,5,8788.32,4.7,161.5,123942,800,84.6,101.6264,56.4,86.849,15
199711,5,8822.124,4.6,161.7,124241,864,84.8,101.6901,55.7,87.1756666667,14
199712,5,8855.928,4.7,161.8,124559,793,84.5,101.7553,54.5,87.5023333333,11
199801,5,8889.732,4.6,162,124831,872,84.4,101.8198,53.8,87.829,14
199802,5,8924.734,4.6,162,125029,866,83.9,101.937,52.9,88.0363333333,12
199803,5,8959.736,4.7,162,125174,836,83.5,102.032,52.9,88.2436666667,12
199804,5,8994.738,4.3,162.2,125454,866,83.2,102.0595,52.2,88.451,14
199805,5,9045.3323333333,4.4,162.6,125856,887,83.2,102.0721,50.9,88.4816666667,13
199806,5,9095.9266666667,4.5,162.8,126079,923,82.2,102.0475,48.9,88.5123333333,11
199807,5,9146.521,4.5,163.2,126209,876,81.4,101.9485,49.2,88.543,14
199808,5,9206.2306666667,4.5,163.4,126549,846,82.7,101.6839,49.3,88.4776666667,13
199809,5,9265.9403333333,4.6,163.5,126767,864,82.1,101.2713,48.7,88.4123333333,15
199810,4.86,9325.65,4.5,163.9,126968,893,82.3,100.919,48.7,88.347,14
199811,4.63,9366.1343333333,4.4,164.1,127241,995,81.9,100.8267,48.2,88.571,13
199812,4.5,9406.6186666667,4.4,164.4,127608,949,81.8,100.8343,46.8,88.795,11
199901,4.5,9447.103,4.3,164.7,127725,875,81.8,100.8158,50.6,89.019,14
199902,4.5,9483.737,4.4,164.7,128135,848,81.9,100.7903,51.7,89.0266666667,11
199903,4.5,9520.371,4.2,164.8,128242,863,81.7,100.8035,52.4,89.0343333333,11
199904,4.5,9557.005,4.3,165.9,128614,918,81.6,100.8712,52.3,89.042,13
199905,4.5,9608.7633333333,4.2,166,128825,888,81.8,100.9662,54.3,89.043,13
199906,4.5,9660.5216666667,4.3,166,129089,923,81.4,101.1052,55.8,89.044,11
199907,4.5,9712.28,4.3,166.7,129417,900,81.6,101.3185,53.6,89.045,14
199908,4.56,9783.5536666667,4.2,167.1,129571,893,81.7,101.5289,54.8,89.143,12
